DATE,DOGE,TWEETS (Paste them here)
01/01/21,0,
02/01/21,1,"So proud of the Tesla team for achieving this major milestone! At the start of Tesla, I thought we had (optimistically) a 10% chance of surviving at all."
03/01/21,0,
04/01/21,0,
05/01/21,1,"Snow falling on Giga Berlin  https://t.co/eTXMtYp8hG. , Because of the large footprint, it may seem flat, but actually ranges up to 5 stories tall."
06/01/21,0,
07/01/21,1,"This is called the domino effect  https://t.co/qpbEW54RvM., The most entertaining outcome is the most likely., As seen from an external observer, not the participants., Use Signal"
08/01/21,1,"Btw, critical feedback is always super appreciated, as well as ways to donate money that really make a difference (way harder than it seems)., Launch underway., "
09/01/21,1,"My 14-year-old son, Saxon, said he feels like 2021 will be a good year. I agree. Let us all make it so.,  https://t.co/TKkruvgBth"
10/01/21,0,
11/01/21,0,
12/01/21,1, https://t.co/TKkruvgBth  https://t.co/ocy2gFRYvN
13/01/21,1,"Legalize comedy., Today at SpaceX is about practicing Starship engine starts. Ship is held down by massive pins while engines are fired. Two starts completed, about to try a third., "
14/01/21,1,"https://t.co/ho7yGXAS3a., All three static fires completed &amp; no RUDs!"
15/01/21,1,Monty Python is amazing  https://t.co/UJq94IWT88
16/01/21,0,
17/01/21,0,
18/01/21,1,Battery cell production is the fundamental rate-limiter slowing down a sustainable energy future. Very important problem.
19/01/21,0,
20/01/21,0,
21/01/21,0,
22/01/21,1,"Am donating $100M towards a prize for best carbon capture technology., Details next week."
23/01/21,1,Launching many small satellites for a wide range of customers tomorrow. Excited about offering low-cost access to orbit for small companies!.
24/01/21,1,Under Vegas in @boringcompany tunnel yesterday with my boys  https://t.co/tLfOuiEdFm.
25/01/21,0,
26/01/21,1,"I kinda love Etsy.,  https://t.co/gpcvjIBTLM., Bought a hand knit wool Marvin the Martian helm for my dog."
27/01/21,1,"Gamestonk!!   https://t.co/RZtkDzAewJ. ,  https://t.co/F23fxQkBCE"
28/01/21,1,"Plaid Model S ships next month  https://t.co/HFUPTnQiPB., It can play Cyberpunk., First production car ever to achieve 0 to 60 mph in less than 2 seconds., 0 to 155mph trap speed in a 1/4 mile. 200mph top speed (with right tires)., "
29/01/21,1,"Here come the shorty apologists Give them no respect Get Shorty.,  https://t.co/a6kmk0PEgM., In retrospect, it was inevitable."
30/01/21,1,"Starship SN9 &amp; SN10  https://t.co/urtPJn7amo.,  https://t.co/pyRCFE97Xp."
31/01/21,1,"What a beautiful day in LA  https://t.co/EsCJTbzO9D., What a beautiful day in LA  https://t.co/EsCJTbzO9D., "
01/02/21,1,"On Clubhouse tonight at 10pm LA time., Feels weird helping make (hopefully good version of) Cyberpunk come true., Please consider working at Neuralink!  Short-term: solve brain/spine injuries Long-term: human/AI symbiosis   Latter will be species-level important   Work at either at our Bay Area or Austin locations."
02/02/21,1,"Giga Berlin progress  https://t.co/ekpG5qcbUi., It will be filled with graffiti art., Off Twitter for a while., "
03/02/21,0,
04/02/21,2,"Dogecoin is the people's crypto,  ur welcome,Falcon 9 launches 60 Starlink satellites to orbit – mission from pad 39A on deck, I am become meme,
Destroyer of shorts, Much wow!, The future currency of Earth
Dogecoin to the Moooonn
71.3%
All other crypto combined
28.7%, "
05/02/21,0,
06/02/21,1,"The great thing about restaurants is that you get to hang out with strangers! - SJM, YOLT

https://m.youtube.com/watch?v=05QJlF06F4s, The Second Last Kingdom, "
07/02/21,0,
08/02/21,2,"Who let the Doge out, Hodl the rainforests!!, The people have spoken …"
09/02/21,0,
10/02/21,2,"Bought some Dogecoin for lil X, so he can be a toodler hodler"
11/02/21,0,
12/02/21,0,
13/02/21,0,
14/02/21,0,
15/02/21,2,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo."
16/02/21,0,
17/02/21,0,
18/02/21,0,
19/02/21,0,
20/02/21,2,I just set up some little Doge mining rigs with my kids. It was fun.
21/02/21,2,Heard a rumor some crypto coin was pegging the dollar
22/02/21,2,Dojo 4 Doge
23/02/21,1,of spacelight
24/02/21,2,On the actual moon
25/02/21,1,You might see much higher download speeds on Starlink at times. Testing system upgrades.
26/02/21,1,Do androids dream of electric cars?
27/02/21,1,174.7K
28/02/21,0,
01/03/21,1,"Use Tesla phone app to melt snow & ice off your car before even leaving the house
"
02/03/21,2,2022: Dogecoin is dumb
03/03/21,1,"From thence to Mars,
And hence the Stars."
04/03/21,1,Launch abort on slightly conservative high thrust limit. Increasing thrust limit & recycling propellant for another flight attempt today.
05/03/21,0,
06/03/21,1,"If you want the Tesla Full Self-Driving Beta downloaded to your car, let us know. Doubling beta program size now with 8.2 & probably 10X size with 8.3. Still be careful, but it’s getting mature"
07/03/21,1,"Availability varies by region due to regulatory approval delays and/or Tesla internal development & testing. 

Note: word “Beta” is used to reduce complacency in usage & set expectations appropriately. All software is first tested internally by Tesla simulation & QA drive teams."
08/03/21,1,Carnot efficiency of the Universe
09/03/21,0,
10/03/21,0,
11/03/21,0,
12/03/21,0,
13/03/21,2,"BTC (Bitcoin) is an anagram of
TBC(The Boring Company)
What a coincidence!
"
14/03/21,2,"Origin of Doge Day Afternoon: The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the casue of the hot , sultry weather."
15/03/21,0,
16/03/21,1,I’m selling this song about NFTs as an NFT
17/03/21,1,"Actually, doesn’t feel quite right selling this. Will pass."
18/03/21,1,"Aspirationally acerbic alliteration 
-> Bullshit baffles brains"
19/03/21,0,
20/03/21,1,Music in zero gravity
21/03/21,0,
22/03/21,0,
23/03/21,1,"Strongest argument against aliens
"
24/03/21,2,"Tesla is using only internal & open source software & operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency."
25/03/21,1,"If there’s ever a scandal about me, *please* call it Elongate"
26/03/21,0,
27/03/21,0,
28/03/21,1,Possible Starship flight tomorrow afternoon
29/03/21,1,FAA inspector unable to reach Starbase in time for launch today. Postponed to no earlier than tomorrow.
30/03/21,1,"Please consider moving to Starbase or greater Brownsville/South Padre area in Texas & encourage friends to do so! 

SpaceX’s hiring needs for engineers, technicians, builders & essential support personnel of all kinds are growing rapidly."
31/03/21,0,
01/04/21,1,Space X is going to put a literal Dogecoin on the literal moon
02/04/21,0,
03/04/21,0,
04/04/21,1,Urgent need to build more housing in greater Austin area!
05/04/21,1,"The Earth is not flat, it’s a hollow globe & Donkey King lives there!"
06/04/21,0,
07/04/21,1,“Tanks for the memery!” – Panzer of the Lake
08/04/21,1,"To be clear, I do support vaccines in general & covid vaccines specifically. The science is unequivocal. 

In very rare cases, there is an allergic reaction, but this is easily addressed with an EpiPen.
"
09/04/21,1,"First 
@Neuralink
 product will enable someone with paralysis to use a smartphone with their mind faster than someone using thumbs"
10/04/21,2, going to moon very soon
11/04/21,1,The art In Cyberpunk is incredible
12/04/21,0,
13/04/21,0,
14/04/21,0,
15/04/21,1,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.
16/04/21,1,Make life multiplanetary! #Mars
17/04/21,1,"If we make life multiplanetary, there may come a day when some plants & animals die out on Earth, but are still alive on Mars"
18/04/21,1,"SpaceX and 
@NASA
 completed a full rehearsal of launch day activities with the four Crew-2 astronauts"
19/04/21,0,
20/04/21,1,Falcon 9 and Dragon are looking good for flight of Crew-2 astronauts; teams are keeping an eye on launch site and downrange weather
21/04/21,0, 
22/04/21,0,
23/04/21,0,
24/04/21,0,
25/04/21,0,
26/04/21,0,
27/04/21,0,
28/04/21,0,
29/04/21,0,
30/04/21,0,
01/05/21,0,
02/05/21,1,I love Art Deco 2. Baby Shark & Shark Tank merge to form Baby Shark tank 3. Throwing out some skit ideas for SNL.What should I do? 4. Irony Man -  defeats villains using the power of irony 5. Woke James Bond SNL May 8
03/05/21,0,
04/05/21,0,
05/05/21,0,
06/05/21,1,Starship landing nominal! 2. About to launch 
07/05/21,2,"Cryptocurrency is promising, but please invest with caution! 2. Make humanity a multiplanet species! 3.Public supoort for life on Mars is critical to making it happen "
08/05/21,1,Guest starring ... 2. Cybertruck prototype in New York this weekend 3. First time a Falcon rocket booster will reach double digits in flights
09/05/21,1,Wario was my fav haha 2. Special link to view SNL outside USA'
10/05/21,2,"Space X launching satellite Doge-1 to the moon next year Mission paid for in Doge, 1st crypto in space, 1st meme in space To the mooooonnn!!"
11/05/21,2,"Do you want Tesla to accept Doge? 2. SLN Monolougr 3. thanks again to @nbcsnl cast, writers & crew! Honor & pleasure to do the show with you."
12/05/21,0,
13/05/21,2,Tesla & Bitcoin 2. Energy usage trend over past few months is insane
14/05/21,2,"It is high time there was a carbon tax! 2. To be clear, I strongly believe in crypto, but it can't drive a massive increase in fossil fuel use, especially coal 3. WOrking with Doge devs to improve system transaction efficency. Potentially promising. 4. As always"
15/05/21,0,
16/05/21,0,
17/05/21,0,
18/05/21,1,"Giga Berlin suppliers please accelerate! 2. Aiming for extreme precision with next gen Model Y - microns, not millimeters"
19/05/21,2,Credit to our Master od coin 2. Tesla has diamond
20/05/21,1,How much is that Doge in the window? 2. Tesla Model S Plaid delivery event June 3 at our California factory Fastest production car ever 0 to 60mph in under 2 secs
21/05/21,0,
22/05/21,1,Any sufficient advanced magic is indistinguishable from technology
23/05/21,0,
24/05/21,0,
25/05/21,2,"Some suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha,  2.Doge has dogs& memes whereas the others do not 3. Spoke with North American Bitcoin miners. They committed to publish current & planned renewable usage & to ask miners WW to do o. Potentially promising."
26/05/21,2,"Please note Dogecoin has no formal organization & no one reports to me, so my ability to take actions is limited"
27/05/21,1,"Deep thots 2. If only they had spaceship, they'd still be around "
28/05/21,1,"Ship 16 & Booster 2, Starbase Highbay"
29/05/21,1,Model S Plaid delivery pushed to june 10. Needs one more week of tweak. This car feels like a spaceship. Words cannot descrie the limbic resonance.
30/05/21,0,
31/05/21,1,Ocean spaceport Deimos is under construction for launch next year
01/06/21,0,
02/06/21,0,
03/06/21,0,
04/06/21,1,"Canada,USA,Mexico"
05/06/21,0,
06/06/21,1,"I guess we read the instructions haha 2. Don't kill what you hate, Save what you love 3. Goods & services are the real economy, any form of money is simply the accounting thereof "
07/06/21,1,"Plaid + is canceled. No need, as plaid is just so good. 2. 0 to 60mph in under 2 secs. Quickest production car ever made of any kind. Has to be felt to be believed."
08/06/21,0,
09/06/21,0,
10/06/21,0,
11/06/21,1,Plaid release event 2. Order Tesla Model S Plaid at 3. Most amount of fun on 4 wheels! Pure joy on tap whenever u want.
12/06/21,0,
13/06/21,1,Esoteric meme of the day
14/06/21,1,"could turn out to be one big Philip K Dick joke in the end 2. K is Kindred 3. Pluto takes 248 years to orbit the sun, but Uranus only takes 84 4. This is true 5. Our soul Dichotomy"
15/06/21,1,From the top of Starbase high bay 2. Stacking Super Heavu Aft Section
16/06/21,0,
17/06/21,1,Let's just skip original video games & movies & go straight to the sequel
18/06/21,1,Real pic of 2ships next to Starbase Tiki Bar on right
19/06/21,0,
20/06/21,0,
21/06/21,1,Happy Father's Day!
22/06/21,1,"Looking at holding Tesla AI day in about a month or so. will go over progress with Tesla AI software & hardware, both training & inference. Purpose is recruiting."
23/06/21,0,
24/06/21,1,Shout out to the awesome Tesla global team. Thanks for working so hard to make Tesla successful!
25/06/21,2,"My shiba Inu will be names Floki 2.Timing is everything 3. How many bitcoin maxis does it take to screw in a lightbulb? 4. ""That's not funny!"" - Bitcoin maxis"
26/06/21,1,"Starlink simultaneously active users just exceeded the strategically important threshold of 69, 420 last night! 2. All 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar regions, which will take another 6 months"
27/06/21,0,
28/06/21,0,
29/06/21,1,Thanks for all the happy birthday wishes!
30/06/21,0,
01/07/21,2,"Super Heavy moves tomorrow. 2. Release the Doge! 3. Baby Doge, doo, doo, doo, doo, doo, Baby Doge, doo, doo, doo, doo, doo, Baby Doge, doo, doo, doo, doo, doo,Baby Doge. 4. Stop gendering memes ... I mean mimes. 5. Tracking footage of Falcin 9Landing on LZ-1. 6. Rapdily Reusable Rockets, R R R"
02/07/21,1,"Congrats Tesla Team on over 200,000 car built & delivered in Q2, despite many chanllenges!! 2. Super Heavy on road & 7th Tower segment added"
03/07/21,0,
04/07/21,1,Bless America. 2.Happy 4th to all! 3. New SpaceX Starlink cover shows transfer orbit from Earth to Mars
05/07/21,1,Free Britney
06/07/21,0,
07/07/21,1,High res landing Falcon landing video
08/07/21,1,"Also, the british legal system in 2021. 2. Supersonic shock wave"
09/07/21,1,Tropic thunder is so good. 2. Listening to History of English podcast. 3. Maybe that movies gaslit us all 4. Gas lit by gas light
10/07/21,1,"Fellowship of the Raptors. 2. Dragon returing from orbit. 3. Solar + Powerwall battery ensures that your home never loses power. 4. Tesla Solar Roof + Powerwall in major new housing development in Austin. 5. Autonomous Space X droneship, A Shortfall of Gravitas"
11/07/21,0,
12/07/21,0,
13/07/21,2,"Maybe is it sees a Shiba Inu, the car renders a Dogecoin... 2. Those who attach space maybe don't realize that space represents hope for so many people 3. Loki is pretty good. Basically, live-action @RickanMorty with a long romance ark."
14/07/21,0,
15/07/21,1,Review of Model S Plaid by Dan Neil. 2. Some light reading with lil X
16/07/21,0,
17/07/21,1,Tap on the screen.2. Fred Astaire is incredible. Worth watching his movies. One of a kind.
18/07/21,1,Cybrrrtruck
19/07/21,0,
20/07/21,1,Full test duration firing of 3 Raptor on Super Heavy Booster!
21/07/21,0,
22/07/21,0,
23/07/21,0,
24/07/21,1,Being thanked by game NPCs brought me real joy tbh
25/07/21,1,And finally
26/07/21,1,The Biggest Bang Theory
27/07/21,1,Population collapse is potentially the greatest risk to the future of civilization
28/07/21,1,haha
29/07/21,1,Tesla AI Day Sugust 19th
30/07/21,1,Apple app store fees are a de facto global tax on the Internet. Epic is right. 2. Prometheus Unbound 3. completing feed system for 29 Raptor rocket engines on Super Heavy Booster
31/07/21,1, snatched from the sky by Mechazilla
